Username,Komentar
bahlillahadalia,bahlillahadalia
bahlillahadalia,•
asyifalaely,asyifalaely
asyifalaely,2d
asyifalaely,Ngomong kasar boleh ya?
asyifalaely,Like
asyifalaely,Reply
taifu_sultan,taifu_sultan
taifu_sultan,2d
taifu_sultan,Kalau gak bisa membantu setidak nya jangan menipu ya pak
taifu_sultan,Like
taifu_sultan,Reply
ferdianto_official,ferdianto_official
ferdianto_official,1d
ferdianto_official,Listrik 93 % pak
ferdianto_official,Like
ferdianto_official,Reply
areyouselaimm,areyouselaimm
areyouselaimm,1d
areyouselaimm,Tukang ngawadul sigundul😂
areyouselaimm,Like
areyouselaimm,Reply
tankun_2000,tankun_2000
tankun_2000,1d
tankun_2000,Presiden aja di tipu
tankun_2000,Like
tankun_2000,Reply
damar_progrock,damar_progrock
damar_progrock,1d
damar_progrock,Berarti bener kali yak?.? Selama ini pak @Prabowo punya anak buah bilangnya laporannya bagus2 terus.... 😂😂😂
damar_progrock,Like
damar_progrock,Reply
dananeffeeend,dananeffeeend
dananeffeeend,1d
dananeffeeend,Asuuu
dananeffeeend,Like
dananeffeeend,Reply
muhammad_makhdum,muhammad_makhdum
muhammad_makhdum,2d
muhammad_makhdum,"Siap pak presiden. Malam ini 93% listrik nyala. (Presiden aja dibohongi, apalagi rakyat) 😂"
muhammad_makhdum,Like
muhammad_makhdum,Reply
agiachmadfwz,agiachmadfwz
agiachmadfwz,2d
agiachmadfwz,Keren bisa bohongin presiden
agiachmadfwz,Like
agiachmadfwz,Reply
74.k41945,74.k41945
74.k41945,2d
74.k41945,Tipu daya kamu luar biasa'.
74.k41945,Like
74.k41945,Reply
kiakia.end,kiakia.end
kiakia.end,2d
kiakia.end,tetep geli liat semua menteri takut sama buna ted 🙈🙈 kaya ga ada marwahnya aja kabinet skrg.. dlu apapa ya sama pres langsung. skrg ada bunaa 😂 iyeuwhh politik skrg anehh
kiakia.end,Like
kiakia.end,Reply
komodozman,komodozman
komodozman,2d
komodozman,Salam 93%🔥
komodozman,Like
komodozman,Reply
andriy_shv9,andriy_shv9
andriy_shv9,1d
andriy_shv9,Hallo kang listrik
andriy_shv9,Like
andriy_shv9,Reply
ariefnugraha0,ariefnugraha0
ariefnugraha0,8h
ariefnugraha0,pak bahlil ini tiap muncul di berita selalu identik sama kerja lapangan dari urus listrik sampe sekarang dampingi presiden liat korban banjir Aceh Tamiang salut banget karena keliatan banget fokusnya ke rakyat bukan pencitraan doang semoga koordinasi lintas kementerian yang bapak jalankan bikin logistik bantuan lancar ga pake drama klasik telat datang dan birokrasi ribet sehat terus pak bahlil Indonesia masih butuh tenaga dan ide ide bapak
ariefnugraha0,Like
ariefnugraha0,Reply
rahman101225,rahman101225
rahman101225,2d
rahman101225,93% sudah merata kah?? 😢
rahman101225,Like
rahman101225,Reply
2 days ago,2 days ago
bahlillahadalia,Comments on this post have been limited.
See more posts,See more posts
Meta,Meta
Meta,About
Meta,Blog
Meta,Jobs
Meta,Help
Meta,API
Meta,Privacy
Meta,Terms
Meta,Locations
Meta,Instagram Lite
Meta,Meta AI
Meta,Threads
Meta,Contact Uploading & Non-Users
Meta,Meta Verified
Meta,Meta in Indonesia
Meta,© 2025 Instagram from Meta
Terms of Use,View all comments
Terms of Use,See what people are saying about bahlillahadalia's post.
Terms of Use,"By continuing, you agree to Instagram's Terms of Use and Privacy Policy."
